NM	Never mind
plz look @ it	Please look at it
U know all u have 2 do is msg me and b like carter	you know all you have to do is message me and be like carter
WTF	What the fuck
I know I was a bully bc every time ppl talk about how horrible middle school was for them I'm like "meh I had a good time"	I know I was a bully because every time people talk about how horrible middle school was for them I'm like "okay (not satisfied) I had a good time"
hi I CU2! That vid is cool	hi I see you too! That video is cool
I g2g Chat with you later	I got to go Chat with you later
yw! have Storm pic to brighten ur morning	your welcome! have Storm picture to brighten your morning
see you tomorrow TTFN	see you tomorrow bye bye for now
I live in Montreal, QC	I live in Montreal, province of Quebec
fml I accidentally txt to my mom instead of my bff… st&d	fuck my life I accidentally text to my mom instead of my Best Friends Forever… Stop texting and drive
justin bieber ytg ily	justin bieber you're the greatest I love you
bif grandma called looking for you	before I forget grandma called looking for you
MOF account of the political rally	matter of fact account of the political rally
when u dream bout a date n in ur dream it awkward as hell lmao	when you dream about a date and in your dream it awkward as hell laughing out loud
and then he just said "TTUL gal" with a wink!	and then he just said "talk to you later girl" with a wink!
Ppl ask me what do u do? n i feel rlly wierd in tht moment!	People ask me whst do you do? and i feel really wierd in that moment!
U ppl whats wrong w/ u	you people whats wrong with you
MKAY	Mmm, okay
SBIA	Standing back in amazement
hav	have
my tl completely changed , tf happened?	my Timeline (twitter) completely changed , the fuck happened?
MWAH	Kiss
I prolly say that every day lmao	I probably say that every day laughing out loud
playing an AWC game	playing an awesome game
please CMIIW	please Correct Me If I am Wrong
haha oh I forgot bout that lulz	laughing oh I forgot about that Laugh out loud
Idk I think ima call some shops or something cuz I don't want to w8 till march 9th	I dont know I will call some shops or something because I don't want to wait untill march 9th
GOWI	Get On With It
OMG I Can not Remember Shit	Oh my God I Can not Remember Shit
IMPOV, u should not be dating	In My Point Of View, you should not be dating
hhh	laughing
WWNC	Will wonders never cease
im gonna rsvp ur name for this wedding and reception	im gonna reply if you please your name for this wedding and reception
ok jk here's the realistic version	ok just kidding here's the realistic version
DIY	Do It Yourself
my friend had the worst dream last night that his Mom caught him masturbating tff	my friend had the worst dream last night that his Mom caught him masturbating too fucking funny
HMU asap	Hit me up as soon as possible
QOTD	Quote of the day
SMH	shaking my head
STW	Search the Web
SorG	Straight or Gay?
how am i? well, nmjc	how am i? well, Nothing much, just chilling
LVM	Left voice mail
xme for my french	Excuse Me for my french
VFM	Value for money
Jack is posting the concert to sc	Jack is posting the concert to snapchat
IYSWIM	If You See What I Mean
IAE	In Any Event
i bought the vans x spongebob sk8 highs and now im happy	i bought the vans x spongebob skater highs and now im happy
WOTAM	Waste Of Time And Money
GTG	Got To Go
O4U	Only for you
thm	them
and i'll 4ever be a vip and their lil yg trash	and i'll forever be a Very important person and their lilttle young gengster trash
IMAO	In My Arrogant Opinion
Happy bday! Thx for this pic at the game	Happy birthday! Thanks for this picture at the game
meh , I'm bored	okay (not satisfied) , I'm bored
ask her out already ut2l man	ask her out already You take too long man
hello Raksh my best wishes 2 u for what u been doing nd for d upcoming work	hello Raksh my best wishes to you for what you been doing and for the upcoming work
Correct Me If I am Wrong but r u going out 2nite	Correct Me If I am Wrong but are you going out tonight 
when imma see you	when I Am Going To see you
Mkay well I'm almost 2 hours away with traffic and I don't drive	Mmm , okay well I'm almost 2 hours away with traffic and I don't drive
I wiLL luv U 4ever m8	I will love you forever mate
OTL	express desperation
MOTSS	Member Of The Same Sex
GFR	Grim File Reaper
WOMBAT	Waste of money, brains and time
PEEPS	People
omg. so sorry to hear , rip	Oh my god. so sorry to hear , rest in peace
af	as fuck
yw, check ur fb	your welcome, check your facebook
ROFL	Rolling on floor laughing
yk	you know
WAYF	Where are you from?
Too much madness in my house im omw to ur house	Too much madness in my house im on my way to your house
pmf, but this tasted like shit	Pardon my French, but this tasted like shit
XLR8	Excelerate
SB	Smiling back
TA	Thanks a lot
NW	No way
LYSM	Love you so much
k luv u, CU2	okay love you, see you too
WTGP	Want to go private (talk out of public chat area)
WEBO	Webopedia
I want yall to have a glimpse into the random bs that comes into my life	I want you all to have a glimpse into the random bullshit that comes into my life
beyonce you are the best! Luwamh	beyonce you are the best! Love You With All My Heart
TAFN	That's all for now
BOT	Back On Topic
oomf	one of my followers
Bro get at me ASAP!!! Im a PG	brother get at me as soon as possible!!! Im a PG
tha big game iz tomorrow so Be There Or Be Dead	the big game is tomorrow so Be There Or Be Dead
Rest in peace lil man	Rest in peace little man
I g2g so I will Chat With You Later	I got to go so I will Chat with you later
RRQ	Return Receipt Request
CYA next week BBFN	see you next week bye bye for now
i can't w8 to meet u	i can't wait to meet you
Lmao y'all really mad idk how to play spades	Laughing Out Loud you all really mad I do not know how to play spades
ctfu	laughing hard
Oh wow can I die pls omg	Oh wow can I die please oh my god
tbh I only love ur sis while shes still a cutie	to be honest I only love your sister while shes still a cutie
Have u been watching at all? IMO , miracle is the reason they are bak together	Have you been watching at all? In My Opinion , miracle is the reason they are back together
NFW	No fucking way
ez	easy
IME	In My Experience
I put u on to good shows bro	I put you on to good shows brother
Send me ur sc usernames	Send me your snapchat usernames
Believe it or not I luv it	Believe it or not I love it
Y	Why
Tq dear ily n miss u alottt	I love you (in Spanish) dear i love you and miss you alottt
rlly dont get ppl who are "bothered" by their own actions but dont make an effort to change sooooo wyd then	really dont get people who are "bothered" by their own actions but dont make an effort to change sooooo what are you doing then
u can pic w me whenever u want and its ok i lyk making frnds!!!	you can picture with me whenever you want and its ok i like making friends!!!
LUV	love
Idk bout you guys but , my family is the ppl that struggle w me	I do not know about you guys but , my family is the people that struggle with me
Mayb I'll bless the TL w/ a pic once I get it lol I just ordered it	Maybe I'll bless the timelime (twitter) with a picture once I get it laughing out loud I just ordered it
YGTI	You Get The Idea
everyone asks me y dont u get married? Myo	everyone asks me y dont u get married? Mind your own business
my mom bought me playstation! Mom ytb!	my mom bought me playstation! Mom You're the best!
got to go TTFN	got to go Bye Bye for now
Idk where i put my starbucks bottle my bf bought for me	I do not know where i put my starbucks bottle my boyfriend bought for me
y did u leave college?	why did you leave college?
mkay i'll be bak l8r I have tons of work to do lol	Mmm , okay i'll be back later I have tons of work to do Laughing Out Loud
I asked her how are you and she said NMJC	I asked her how are you and she said Nothing much, just chilling
afaic the system should have handled that correctly	As Far As I am Concerned the system should have handled that correctly
please CMIIW and do not lie 2 me	please Correct Me If I am Wrong and do not lie to me
wup frenny, u're talkative and such. i'm lucky to be ur friend, take care x	what's up frenny, you're talkative and such. i'm lucky to be your friend, take care kiss
BYOB to tha party next month	Bring Your Own Bottle to the party next month
frnds	friends
rip hero… gone but never forgotten	rest in peace hero… gone but never forgotten
OB	Oh baby
why does it always rain on me? Tanj	why does it always rain on me? There is not Justice
I must visit my friends asap coz I really miss them	I must visit my friends as soon as possible because I really miss them
CU tomorrow TTFN	see you tomorrow bye bye for now
ima tryin 2 cal but cant get you	I am trying to cal but cant get you
BION I luv it	Believe it or not I love it
I'm a hard core sk8r. Lets go sk8	I'm a hard core skater. Lets go skate
tbh i cant rly wait for winner to cb this time	to be honest i cant really wait for winner to call back this time
lmk when you on the way k?	let me know when you on the way okay?
You are obv going to give me a dollar	You are obviously going to give me a dollar
LTM literally talked abt how he kinda knew he's too young	Laughing To Myself literally talked abt how he kinda knew he's too young
ive liked a lot of my all times fav ytb playlists	ive liked a lot of my all times favorite youtube playlists
do u just hate it when ur hands shake after u drink meds bc I do and ykw fck that I'm gonna study	do you just hate it when your hands shake after you drink meds because I do and you know what fuck that I'm gonna study
I am using CPP	I am using C++ program language
VN	Very nice
it always taking me so long to write back bc I am hoyew	it always taking me so long to write back because I am Hanging On Your Every Word
ima bout to clear that tl out if i unfollow dm me	I am about to clear that timeline (twitter) out if i unfollow send direct message (on twitter) me
TMOT	Trust me on this
omg he just tweeted!!!!!! brb	oh my god he just tweeted!!!!!! Be right back
BTHOM	Beats The Hell Out Of Me
PMFBI	Pardon Me For Interfering
Sry jk we are BFF Bro	Sorry just kidding we are Best Friends Forever Brother
The volunteers take three times as long with the mailing, but WYGISWYPF	The volunteers take three times as long with the mailing, but What You Get Is What You Pay For
livin	living
u r the best ly xx	you are the best love you Kisses
Stay away from the boss today, he's in a bad mood aattw	Stay away from the boss today, he's in a bad mood a word to the wise
I've only done half of it, I'm s2s	I've only done half of it, I'm sorry to say
btw if u don't hate me , follow me	by the way if you don't hate me , follow me
i think there is no scale tht can measure ur beauty	i think there is no scale that can measure your beauty
SUL	Snooze You Loose
NT	not
WTH	What the hell
ohhhh come on! AWGTHTGTTA	ohhhh come on! Are We Going To Have To Go Through This Again
YF	Wife
man ppl rly act like not caring abt spelling	man people really act like not caring about spelling
yrw bb i want some cute tops pls!!	you are welcome baby i want some cute tops please!!
Her dress Wazznt beautiful BSF she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
arggg wup w/ da train	express anger what's up with the train
ABT	about
You lame asl!	You lame as hell!
tfw no gf with long qt syndrome	that feeling when no girlfriend with long cutie syndrome
cop	to get
ATSL	Along The Same Line
CYA	See You
WUCIWUG	What you see is what you get
TNXE6	Thanks A Million
see you tomorrow B4N	see you tomorrow bye for now
smokin	smoking
Y'all dumb asl	you are all dumb as hell
TFTF	Thanks for the follow (In Twitter)
ne1 I kno?	anyone I know?
why ru up at this hour and Dont say work cuz that will make me sad	why are you up at this hour and Dont say work because that will make me sad
WRU@	Where are you at
ur not a snack if everyone had a bite , u a free sample	you are not a snack if everyone had a bite , you a free sample
PLD	Played
Sry hhos we are BFF Bro	Sorry Ha Ha Only Serious we are Best Friends Forever Brother
ONNA	Oh No, Not Again
Oh gosh I forgot to msg u	Oh gad I forgot to message you
LTLWDLS	Let's twist like we did last summer
IBK	Idiot Behind Keyboard
PLU	People like us
TTFN	Bye Bye for now
PTO	Personal time off
MRA	Moving Right Along
UDS	Ugly domestic scene
why these shit keep happening to me? Tanj	why these shit keep happening to me? There is not Justice
SIS	Sister
WL	What a loser
HBASTD	Hitting Bottom And Starting To Dig
OMW	On my way
IT ONLY TOOK 2 DAYS BEAT THAT LOSERS LMAO hhoj LUV YOU GUYS	IT ONLY TOOK TWO DAYS BEAT THAT LOSERS Laughing out loud Ha Ha Only Joking LOVE YOU GUYS
u r da man	you are the man
PCMCIA	Personal Computer Memory Card
RYS	Read your screen
ive told you to not post any pic of me or any pic that i was in so pls respect tht	ive told you to not post any picture of me or any picture that i was in so please respect that
TAF	That is All Folks
O	Hugs
you have such a big heart! T4bu	you have such a big heart! Thanks for being you
YG	Young gentleman
UW	You're welcome
OOTC	Obligatory On-Topic Comment
BAC	Bad Assed Chick
Correct Me If I am Wrong but r u goin out 2nite	Correct Me If I am Wrong but are you going out tonight 
BC	Because
im lil bit scared but idk why am i like this	im little bit scared but I do not know why am i like this
these days are too busy for me so I can not handle that right now, I will TTYAFN	these days are too busy for me so I can not handle that right now, I will Talk to you a while from now
Lotta ppl on my TL been calling it the greatest movie ever lol	a lot of people on my timeline (twitter) been calling it the greatest movie ever laughing out loud
More cool shirts are otw Tell ya friends pls	More cool shirts are on the way Tell your friends please
thanks	Thank you
2nite	tonight
Believe it or not IMA fortune teller	Believe it or not I am a fortune teller
Wrt the other arguments	with regard to the other arguments
I need you, call me ASAYGT	I need you, call me As Soon As You Get This
LUWAMH	Love You With All My Heart
how much imma spend on food today hehehe	how much I am going to spend on food today Laughing
we're so sry about that! Please DM us w/ your contact info	we're so sorry about that! Please send direct message (on twitter) us with your contact info
TD2M	Talk dirty to me
I actually agree w ur ted talks pls don't take it srsly	I actually agree with your ted talks please don't take it seriously
YMMV	Your mileage may vary
OTW	on the way
omg boi wyd raise ur kid well pls	oh my god boy what are you doing raise your kid well please
W/E	Whatever
1	one
TCO	Total Cost of Ownership
LIL	little
AWS	Awesome
MTF	More to follow
Lls idek wat ima do for boo b day	Laughing like silly I do not know what I will do for his birthday
FYI my car xlr8 better	For Your Information my car excelerate better
LMFAO	Laughing out loud
IMNSHO their songs r cheap	In My Not So Humble Opinion their songs are cheap
youre a lil edgy and intimidating to me at times but ur a treasured mutual mwah mwah	youre a lilttle edgy and intimidating to me at times but you are a treasured mutual kiss kiss
u aint slick I hear u	you are not (acting) smooth I hear you
HNY	Happy New Year
BOHICA	Bend Over, Here It Comes Again
LTHTT	Laughing Too Hard To Type
THX	Thanks
idk what to tell you bout em lol smh	I do not know what to tell you about them Laughing out loud shaking my head
Stfu boi cuz yo profile pic is ugly	Shut the fuck up boy because your profile picture is ugly
irl I dont care abt presents	in real life I dont care about presents
tryna	trying to
SUL sis	See You All Later sister
Her dress Wazznt beautiful but seriously folks she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
can u send me a sc of it if	can you send me a snapchat of it
when u forgot u are texting irl	when you forgot you are texting in real life
TSTB	The sooner, the better
absolutely h8 public transport bc ppl r so disgusting	absolutely hate public transport because people are so disgusting
got to go, TTUL	got to go, talk to you later
LABATYD	Life is A Bitch And Then You Die
rted	Retweeted (Twitter slang)
I am starving! Ate nthing today	I am starving! Ate nothing today
pls lmk who u r bc i still dont know	please let me know who you are because i still dont know
YCDBWYCID	You can't do business when your computer is down
SUL bro	See You All Later brother
noooo dm me if u need me mwah	no send direct message (on twitter) me if you need me kiss
i just want to cuddle up w/ a qt	i just want to cuddle up with a cutie
JIC	Just In Case
OM	Oh, my
why do ut2l to ask her to marry you?	why do you take too long to ask her to marry you?
it's one of my ex closest friend's bday and i just texted her , i miss her ngl	it's one of my former boyfriend (or girlfriend) closest friend's birthday and i just texted her , i miss her not going to lie
pls b real w us	please be real with us
good luck w applications its stressful ngl but u'll get there	good luck with applications its stressful not going to lie but you'll get there
IAW	In Accordance With
I love you so much that it BTHOM	I love you so much that it Beats The Hell Out Of Me
Rip lil man	Rest in peace little man
Oh you mean lil me? The baby me?	Oh you mean lilttle me? The baby me?
Omg I'm so curious who's the mc	Oh my god I'm so curious who's the rapper
IYFEG	Insert Your Favorite Ethnic Group
BBIAF	Be Back In A Few
OL	Old
when u find out the answer lmk sis	when you find out the answer let me know sister
OMG My mom is calling me for dinner so BCNU L8R	Oh my God my mom is calling me for dinner so be seeing you later
IBTD	I Beg To Differ
Lol ya u know	Laughing out loud yeah you know
plz play this song ty and Ily	please play this song thank you and I love you
Btw , love ur msg background	By the way , love your message background
NE14KFC	Anyone want to eat KFC
aisi only a naive person will buy it	as I see it only a naive person will buy it
TMTH	Too much to handle
I love watching Friends so much that I think I am actually MFI	I love watching Friends so much that I think I am actually Mad For It
PM	Private Message
SYL bro	See You All Later brother
I feel vry happy when u lyk my comments	I feel very happy when you like my comments
goodmorning bitch, wyd bitch, tf bitch lmmfao	goodmorning bitch, what are you doing bitch, the fuck bitch laughing out loud
nvm ppl gunna laugh at how much my acc sux	never mind people going to laugh at how much my account Sucks
ruok? I know you two where close	are you okay? I know you two where close
u r so cute do u wan2 snort a line w me and fuck on ur parents bed	you are so cute do you want to snort a line with me and fuck on your parents bed
SOAB	Son of a bitch
NWO	No way out
PRT	Please Retweet (Twitter)
Lol u rlly sure need ban these bots idk	Laughing Out Loud you really sure need ban these bots I do not know
Really going to be ptfo if I can't log into my icloud	Really going to be Pass the fuck out if I can't log into my icloud
LMK	Let me know
UNCRTN	Uncertain
PDA	Personal display of affection
NE14KFC? I can not say no to that	Anyone want to eat KFC? I can not say no to that
IMA using C++ program language	I am using C++ program language
U choose ur decision IMNSHO	you choose your decision In My Not So Humble Opinion
hhok ok here's the realistic version	Ha Ha Only Kidding ok here's the realistic version
CUL8R guys	see you later guys
actual footage of me leaving SC after I post a pic or vid on my story	actual footage of me leaving snapchat after I post a picture or video on my story
this was a big BWQ	this was a big Buzz Word Quotient
NE1	Anyone
what a qt	what a cutie
ISWYM	I See What You Mean
y'all	you all
VM	Voice mail
SAL	Such a laugh
GR&D	Grinning, Running and Ducking
lmk if u are coming so i can wait for u	let me know if you are coming so i can wait for you
if u find a liquid african black soap lmk bc it's my fav soap	if you find a liquid african black soap let me know because it's my favorite soap
Abt to be 22 and flat chested asl	about to be 22 and flat chested as hell
i love u but i gtg bc school	i love you but i got to go because school
ISSYGTI	I am So Sure that  You Get The Idea
2 good 2 b true	too good to be true
2	to
XOXOXO	Kisses and Hugs
ne1 would think its real	anyone would think its real
NMU	Not much, you?
ITFA	In The Final Analysis
the marathon has forced me to come f2f with my physical limitations	the marathon has forced me to come face to face with my physical limitations
NE14KFC	Anyone want to eat KFC
Idk her name lol	I do not know her name Laughing out loud
SPTO	Spoke to
ANFAWFOS is a great movie	And Now For A Word From Our Sponsor is a great movie
TY	Thank you
MYO	Mind your own business
CMIIW but r you goin out 2nite	Correct Me If I am Wrong but are you going out tonight 
Pft ofc he doesnt lol stupid me	An exlamation of disbelief of course he doesnt laughing out loud stupid me
QT	Cutie
pls pass the msg thx	please pass the message thanks
GAL	Get A Life
OTTOMH	Off the top of my head
lol this lil green cartoon is my fav	Laughing Out Loud this little green cartoon is my favorite
tryin	trying
AFAIR	As Far As I Remember
ROFLMAO	Rolling on the floor, laughing my ass off
OMG My mom is calling me for dinner so be seeing you later	Oh my God my mom is calling me for dinner so be seeing you later
WBS	Write back soon
CMIIW but r u going out tn	Correct Me If I am Wrong but are you going out tonight 
im super busy today, ttyt bby	im super busy today, talk to you tomorrow baby
VBS	Very big smile
NMJC	Nothing much, just chilling
Oh sis I didn’t wanna see that close LOLwtf	Oh sister I didn’t wanna see that close Laughing out loud and saying What the fuck
WB	Welcome back
I have a cleanest kitchen IYSWIM	I have a cleanest kitchen If You See What I Mean
you are on twitter although you trying to avoid spoilers?! Mtfbwy	you are on twitter although you trying to avoid spoilers?! may the force be with you (Good luck)
Idk I think u didn't but idk u probably did	I do not know I think you didn't but I do not know you probably did
INPO	In No Particular Order
FUBB	Fouled Up Beyond Belief
YCMU	You crack me up
you always assume I kno all those ppl but actually nhoh	you always assume I know all those people but actually never heard of her
OTT	Over the top
CMIIW	Correct Me If I am Wrong
CRS	Can not Remember Shit
i feel rlly wierd in tht moment	i feel really wierd in that moment
LMIRL	Lets meet in real life
ima b str8 , I'm not tryna go bak to my past	I will be straight , I'm not trying to go back to my past
2gethr	together
txt	text
MU	Miss you
Bro ngl I'm fed up	Brother not going to lie I'm fed up
RMMM	Read my mail man
FYI , she doesn't like talking to ppl so I can say I'm lucky bc she's actually replying	For your information , she doesn't like talking to people so I can say I'm lucky because she's actually replying
Omg, let me repeat Omfg !!!	Oh my god, let me repeat Oh my fucking God !!!
Correct Me If I am Wrong but r u going out tonight	Correct Me If I am Wrong but are you going out tonight 
WIU	Wrap it up
YTTL	You take too long
lol stfu	Laughing out loud Shut the fuck up
“you're mean bc you're an Aries” no , shutup. kma how abt that.	“you're mean because you're an Aries” no , shutup. Kiss my ass how about that.
I can't send you DM . But i rw your post	I can't send you send direct message (on twitter) . But i Retweet (Twitter slang) your post
you need to choose computer that fits 4ur needs	you need to choose computer that fits for your needs
srsly annoyed w/ a bts fan on my fan acc	seriously annoyed with a bts fan on my fan account
TMB	Tweet me back
TTYT	Talk To You Tomorrow
s/o	shout out
Lmho Don't Entertain Me Right Now, I'm Drunk Asl	Laughing my head off Don't Entertain Me Right Now, I'm Drunk As Hell
y omg LTHTT	Why oh my god Laughing Too Hard To Type
NLT	No later than
Idk what that means stfu	I do not know what that means shut the fuck up
PMJI	Pardon My Jumping In
bogus	silly
omg we gone be so fucked up omg enjoy these last days sis	oh my god we gone be so fucked up oh my god enjoy these last days sister
Cuz that person bet my record I replied my friend msg after 2 years	because that person bet my record I replied my friend message after 2 years
b day	birthday
I got to go so I will CWYL	I got to go so I will Chat with you later
dont be shy idk how to bite ppl lol	dont be shy I do not know how to bite people Laughing Out Loud
ur both mom and dad??? That's definitely TMTH	your both mom and dad??? That's definitely too much to handle
tq for ur continuos update	I love you (in spanish) for your continuos update
ST&D	Stop texting and drive
SUX	Sucks
u r so sw8 2 me	you are so sweet to me
ikr	I know, right
deactivated my fb acct bc y not?	deactivated my facebook account because why not?
NFM	None for me
2 me	to me
MOOS	Member of the opposite sex
You can use it, but it’s ayor	You can use it, but it’s at your own risk
GMTA	Great Minds Think Alike
btw imo i love staedler pencils	by the way in my opinion i love staedler pencils
b	be
I agree with what our POTUS just did	I agree with what our President of the United States just did
Fuck'em	fuck them
afair the system should have handled that correctly	As Far As I Remember the system should have handled that correctly
WC	Toilet
I need 2 go now, ttyawfn	I need to go now, Talk to you a while from now
PLZ	Please
TGIF	Thank God it's Friday
HOYEW	Hanging On Your Every Word
CMIIW but r you going out 2nite	Correct Me If I am Wrong but are you going out tonight 
pls no hhok lol but srsly no. hhos	please no Ha Ha Only kidding Laughing Out Loud but Seriously no. Ha Ha Only Serious
ANFSCD by Monty Python	And Now For Something Completely Different by Monty Python
some1 rly just unfollowed me after i rted my own damn commissions post	someone really just unfollowed me after i retweeted (Twitter slang) my own damn commissions post
this is a BWQ	this is a Buzz Word Quotient
y'all ugly asl	you are all ugly as hell
4 ever	forever
IMPOV	In My Point Of View
got to go, TLK2UL8R	got to go, talk to you later
I will do everything 4u	I will do everything for you
gunna	going to
Waiting 4 U @ home	Waiting for you at home
that's not cool man… SSINF	that's not cool man… So stupid it's not funny
SC	Snapchat
pls update us abt the audio function	please update us about the audio function
PMIGBOM	Put Mind In Gear, Before Opening Mouth
i love u lolo	i love you lots of love
meh i'll find my shit elsewhere lol	okay (not satisfied) i'll find my shit elsewhere Laughing Out Loud
since you ask- impov it makes you look cheap	since you ask- In My Point Of View it makes you look cheap
check dm ASAP	check direct message (on twitter) as soon as possible
mfs be tryna act cold hearted but be sweet asl	motherfucker be trying to act cold hearted but be sweet as hell
hahaha	laughing
AISI	As I See It
are'nt you at home? wru@	are'nt you at home? Where are you at
ANFSCD is a great movie	And Now For Something Completely Different is a great movie
ONL	Online
They won't kno me on this acct	They won't know me on this account
maybe she is sick? Stop judging and myob	maybe she is sick? Stop judging and Mind your own business
ctfu he was bogus asl	laughing hard he was silly as hell
Hey, AWHFY?!	Hey, Are We Having Fun Yet?!
YHL	You have lost
Correct Me If I am Wrong but r you going out 2nite	Correct Me If I am Wrong but are you going out tonight 
She Not Gone Have Time For Other Ppl	She Not Gone Have Time For Other People
QSL	Reply
NIH	Not Invented Here
TGAL	Think Globally, Act Locally
HTH	Hope That Helps
doin	doing
AWGTHTGTTA? plz dont tell me we do	Are We Going To Have To Go Through This Again? please dont tell me we do
SEC	second
and btw I have 1 best friend not 2	and by the way I have one best friend not two
ty qt	thank you cutie
YBIC	Your brother in Christ
pls no hhoj lol but srsly no. hhos	please no Ha Ha Only Joking Laughing Out Loud but Seriously no. Ha Ha Only Serious
YKYARW	You Know You are A Redneck When
You mAk my hart melt	You make my heart melt
you looks pale, uok	you looks pale, are you okay
C&G is Used to express a light hearted laugh	Chuckle and Grin is Used to express a light hearted laugh
fyi it shouldn't be abt it	For your information it shouldn't be about it
I remind U NVR 2 act ur age	I remind you never to act your age
Yrw and ty very much ur sweet	You are welcome and thank you very much you are sweet
DA	the
ok girl, ttyl	ok girl, talk to you later
Oh yes, POTUS is a miracle worker. No other president has ever demonstrated such heroic diplomatic	Oh yes, President of the United States is a miracle worker. No other president has ever demonstrated such heroic diplomatic
VEG	vegetarian
IDTS	I don't think so
yo	your
DILLIGAD	Do I Look Like I Give A Darnn
Her dress was not beau but seriously folks she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
BYKT so don't trick me	But You Knew That so don't trick me
MGMT	Management
WYHAM	When you have a minute
bbiaf do not go anywhere	be back in a few do not go anywhere
NITL	Not In This Lifetime
THNQ	Thank you
WYD	What are you doing
lol I got a lil nigga right now who got caught	Laughing Out Loud got a lilttle black man (offensive) right now who got caught
ppl will stab u at ur back and ask u y r u bleeding	people will stab you at your back and ask you why are you bleeding
NTIM	Not That It Matters
yw bb i want some cute tops pls!!	your welcome baby i want some cute tops please!!
Lol u ryt	Laughing out loud you right
cya guys later	see you guys later
TNX	Thanks
LTM	Laughing To Myself
how do u think u are going to react for real if u see chris irl	how do you think you are going to react for real if you see chris in real life
GFN	Gone For Now
dm me and lmk	send direct message (on twitter) me and let me know
A pic of me trya make my bun into Kian :) yw	A picture of me trying to make my bun into Kian :) your welcome
lmfao i'm not against her but everyone knows that yg is a shitty PD you don't have to remind her	laughing out loud i'm not against her but everyone knows that young gangster is a shitty Police Department you don't have to remind her
LTNT	Long Time, No Type
SYL guys	see you later guys
LYK	like
FTASB	Faster Than A Speeding Bullet
Tnx buddy!!	Thanks buddy!!
Hmu via txt msg	Hit mw up via text message
LQTM	Laughing quietly to myself
nigga	black man (offensive)
Tbh think my face says it all abt meeting	To be honest think my face says it all about meeting
ASAP	As Soon As Possible
OMG I HAVENT BEEN ONLINE IDK WHO IS WHO ANYMORE BUT I WANNA SEE PICS PLS HAHA	OH MY GOD I HAVENT BEEN ONLINE I DO NOT KNOW WHO IS WHO ANYMORE BUT I WANNA SEE PICTURES PLEASE HAHA
BION IMA fortune teller	Believe it or not I am a fortune teller
ROTFLOLAPMP	Rolling On The Floor Laughing Out Loud And Peeing My Pants
IANAL	I Am Not A Lawyer
W@	What?
SFLA	Stupid Four Letter Acronym
NE	Any
SB	Should be
SUL	See you later
I just finished writing the best PROGGY	I just finished writing the best computer program
YABA	Yet another bloody acronym
TILIS	Tell it like it is
XME	Excuse Me
OVA	Over
ngl but lmao at ppl tweeting I'm expecting something	not going to lie but Laughing out loud at people tweeting I'm expecting something
got to go, TTYS	got to go, talk to you soon
TU	Thank you
TTKSF	Trying To Keep a Straight Face
SUFID	Screwing Up Face In Disgust
omg idk who you are	Oh my God I do not know who you are
this pic ugly asl	this picture is ugly as hell
I asked her how are you and she said NM	I asked her how are you and she said Nothing much
its NP for me	its no problem for me
Ya	you
ur both mom and dad??? That's definitely 2M2H	your both mom and dad??? That's definitely too much to handle
I came ftf with her in the cafeteria	I came face to face with her in the cafeteria
G	Grin
Lls nigga don't u have a bf	Laughing like silly nigga don't you have a boyfriend
sc me	snapchat me
tha big game is tomorrow so BTOBD	the big game is tomorrow so Be There Or Be Dead
I'm on the couch ptfo	I'm on the couch Pass the fuck out
I cant support ugly pics in my tl lol	I cant support ugly pictures in my Timeline (twitter) laughing out loud
IRL	In Real Life
SWMBO	She who must be obeyed (wife)
POV	Point of view
love you! But not in a romantic way, lylas	love you! But not in a romantic way, Love You Like A Sister
why do you insists on going there alone? mtfbwy	why do you insists on going there alone? May the force be with you (Good luck)
CUL8R sis	See You All Later sister
TYVM	Thank you very much
arg	express anger
Oh my God my mom is calling me for dinner so be seeing you L8R	Oh my God my mom is calling me for dinner so be seeing you later
SMH	so much hate
and then he just said "TTYS gal" with a wink!	and then he just said "talk to you soon girl" with a wink!
I prolly say that every day hehe	I probably say that every day laughing 
OOTO	Out of the office
u r hot	you are hot
MOTAS	Member Of The Appropriate Sex
QC	province of Quebec
MFI	Mad for it
XXX	Kisses
ykw i'll make a list just like fairy did bc i'm too lazy to mention n nvr make it on time	you know what i'll make a list just like fairy did because i'm too lazy to mention and never make it on time
GDW	Grin, Duck and Weave
Rip little man	Rest in peace little man
Lmk you tryna cop a 36 inch tv	Let me know you trying to get a 36 inch tv
hmu	hit me up (text me or call me)
LMHO	Laughing My Head Off
HAK	Hugs And Kisses
he said bbl and loged off	he said be back later and loged off
Guess imma listen to that album now. Again.	Guess I am going to listen to that album now. Again.
love you! But not in a romantic way, lylab	love you! But not in a romantic way, Love You Like A Brother
idk y y'all think he is sweet for it	I do not know why you all think he is sweet for it
DWIMC	Do What I Mean, Correctly
i HATE HATE HATE when ppl tell me to smile more stfu	i HATE HATE HATE when people tell me to smile more shut the fuck up
NTYMI	Now That You Mention It
I need 2 go now, ttyafn	I need to go now, Talk to you a while from now
NSISR	Not sure if spelled right
pls don't date someone / stay w someone who doesn't make u feel secure	please don't date someone / stay with someone who doesn't make you feel secure
vid	video
TFF	Too fucking funny
